No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2397,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,34.44,0.01%,"31,113"
2398,FEN,First Trust Energy Income and Growth Fund,Financial,Asset Management,USA,198.81M,-,9.93,-0.60%,"79,699"
2399,FENC,Fennec Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,194.75M,-,7.71,0.65%,"64,257"
2400,FENG,Phoenix New Media Limited,Communication Services,Internet Content & Information,China,99.62M,0.78,1.41,0.71%,"23,308"
2401,FENY,Fidelity MSCI Energy Index ETF,Financial,Exchange Traded Fund,USA,-,-,8.09,-0.61%,"435,781"
2402,FEO,First Trust/Aberdeen Emerging Opportunity Fund,Financial,Closed-End Fund - Equity,USA,63.14M,-,12.56,-0.38%,"1,820"
2403,FEP,First Trust Europe AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,34.02,0.13%,"36,401"
2404,FET,"Forum Energy Technologies, Inc.",Energy,Oil & Gas Equipment & Services,USA,60.33M,-,0.54,1.50%,"422,580"
2405,FEUZ,First Trust Eurozone AlphaDEX ETF,Financial,Exchange Traded Fund,USA,-,-,36.55,-0.35%,95
2406,FEX,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,66.68,0.62%,"145,873"
2407,FEYE,"FireEye, Inc.",Technology,Software - Infrastructure,USA,3.25B,-,14.24,-1.11%,"2,203,924"
2408,FEZ,SPDR EURO STOXX 50 ETF,Financial,Exchange Traded Fund,USA,-,-,36.91,1.07%,"2,119,404"
2409,FF,FutureFuel Corp.,Basic Materials,Chemicals,USA,546.81M,4.83,12.49,-1.89%,"97,650"
2410,FFA,First Trust Enhanced Equity Income Fund,Financial,Closed-End Fund - Equity,USA,307.93M,24.04,15.41,-0.13%,"19,673"
2411,FFBC,First Financial Bancorp.,Financial,Banks - Regional,USA,1.43B,8.65,14.5,-0.28%,"351,278"
2412,FFBW,"FFBW, Inc.",Financial,Banks - Regional,USA,70.73M,40.72,9.08,0.11%,63
2413,FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc.,Financial,Closed-End Fund - Debt,USA,945.80M,42.18,21.26,0.09%,"61,975"
2414,FFEB,FT Cboe Vest US Eq Buffer ETF - February,Financial,Exchange Traded Fund,USA,-,-,31.67,0.19%,"113,901"
2415,FFEU,Barclays ETN+ FI Enhanced Europe 50 ETN Series C,Financial,Exchange Traded Fund,USA,-,-,74.92,1.12%,"4,241"
2416,FFG,"FBL Financial Group, Inc.",Financial,Insurance - Life,USA,1.25B,15.09,50.84,0.38%,"33,304"
2417,FFHG,FormulaFolios Hedged Growth ETF,Financial,Exchange Traded Fund,USA,-,-,26.49,1.22%,"13,485"
2418,FFHL,"Fuwei Films (Holdings) Co., Ltd.",Consumer Cyclical,Packaging & Containers,China,14.71M,2.48,4.61,-2.18%,"14,727"
2419,FFIC,Flushing Financial Corporation,Financial,Banks - Regional,USA,347.47M,8.79,12.37,0.57%,"77,936"
2420,FFIN,"First Financial Bankshares, Inc.",Financial,Banks - Regional,USA,4.37B,24.61,30.89,-1.09%,"330,281"
2421,FFIV,"F5 Networks, Inc.",Technology,Software - Infrastructure,USA,7.83B,24.11,128.36,0.81%,"844,317"
2422,FFNW,"First Financial Northwest, Inc.",Financial,Banks - Regional,USA,100.20M,11.14,9.99,1.94%,"44,237"
2423,FFR,First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund,Financial,Exchange Traded Fund,USA,-,-,39.44,0.48%,"1,252"
2424,FFSG,FormulaFolios Smart Growth ETF,Financial,Exchange Traded Fund,USA,-,-,27.92,-0.19%,"2,018"
2425,FFTG,FormulaFolios Tactical Growth ETF,Financial,Exchange Traded Fund,USA,-,-,27.73,-0.01%,"3,740"
2426,FFTI,FormulaFolios Tactical Income ETF,Financial,Exchange Traded Fund,USA,-,-,23.92,0.13%,"34,308"
2427,FFTY,Innovator IBD 50 ETF,Financial,Exchange Traded Fund,USA,-,-,38.33,0.79%,"20,090"
2428,FFWM,First Foundation Inc.,Financial,Banks - Regional,USA,703.34M,11.13,15.77,0.45%,"88,329"
2429,FGB,First Trust Specialty Finance and Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,36.64M,-,2.55,0.79%,"21,069"
2430,FGBI,"First Guaranty Bancshares, Inc.",Financial,Banks - Regional,USA,135.80M,8.18,14.22,-1.04%,"2,956"
2431,FGD,First Trust Dow Jones Global Select Dividend Index Fund,Financial,Exchange Traded Fund,USA,-,-,18.94,1.18%,"60,150"
2432,FGEN,"FibroGen, Inc.",Healthcare,Biotechnology,USA,3.87B,-,42.6,-6.60%,"1,078,383"
2433,FGM,First Trust Germany AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,44.9,0.43%,664
2434,FHB,"First Hawaiian, Inc.",Financial,Banks - Regional,USA,2.30B,11.63,17.78,6.02%,"1,979,193"
2435,FHI,"Federated Hermes, Inc.",Financial,Asset Management,USA,2.52B,8.37,24.92,0.40%,"621,136"
2436,FHK,First Trust Hong Kong AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,35.26,-1.23%,3
2437,FHLC,Fidelity MSCI Health Care Index ETF,Financial,Exchange Traded Fund,USA,-,-,54.18,0.50%,"104,071"
2438,FHN,First Horizon National Corporation,Financial,Banks - Regional,USA,6.17B,11.95,11.08,-3.23%,"8,407,218"
2439,FI,Frank's International N.V.,Energy,Oil & Gas Equipment & Services,Netherlands,414.62M,-,1.77,2.31%,"497,158"
2440,FIBK,"First Interstate BancSystem, Inc.",Financial,Banks - Regional,USA,2.39B,14.22,36.8,-0.86%,"196,329"
2441,FIBR,iShares Edge U.S. Fixed Income Balanced Risk ETF,Financial,Exchange Traded Fund,USA,-,-,101.49,0.02%,993
2442,FICO,Fair Isaac Corporation,Technology,Software - Application,USA,12.62B,56.42,435.6,0.59%,"97,696"
2443,FID,First Trust S&P International Dividend Aristocrats ETF,Financial,Exchange Traded Fund,USA,-,-,14.59,0.55%,"2,496"
2444,FIDI,Fidelity International High Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,16.17,0.56%,"11,620"
2445,FIDU,Fidelity MSCI Industrials Index ETF,Financial,Exchange Traded Fund,USA,-,-,42.28,0.45%,"50,535"
2446,FIEE,UBS AG FI Enhanced Europe 50 ETN,Financial,Exchange Traded Fund,USA,-,-,126.8,1.43%,"1,426"
2447,FIF,First Trust Energy Infrastructure Fund,Financial,Closed-End Fund - Equity,USA,171.82M,-,9.79,-1.21%,"59,763"
2448,FIHD,UBS AG FI Enhanced Global High Yield ETN,Financial,Exchange Traded Fund,USA,-,-,156.27,0.74%,312
2449,FIII,Forum Merger III Corporation,Financial,Shell Companies,USA,308.78M,-,9.71,0.00%,"68,765"
2450,FIIIU,Forum Merger III Corporation,Financial,Shell Companies,USA,-,-,10.1,0.50%,"27,364"
2451,FILL,iShares MSCI Global Energy Producers ETF,Financial,Exchange Traded Fund,USA,-,-,10.56,0.47%,"58,226"
2452,FINV,FinVolution Group,Financial,Credit Services,China,397.27M,2.42,2.19,-0.45%,"315,207"
2453,FINX,Global X FinTech ETF,Financial,Exchange Traded Fund,USA,-,-,39.69,0.40%,"99,176"
2454,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,89.47B,1569.57,144.4,1.18%,"2,904,171"
2455,FISI,"Financial Institutions, Inc.",Financial,Banks - Regional,USA,274.19M,7.51,17.18,1.48%,"45,099"
2456,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,31.96,0.12%,"166,825"
2457,FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,68.15B,80.49,101.18,0.30%,"2,232,194"
2458,FIT,"Fitbit, Inc.",Technology,Scientific & Technical Instruments,USA,1.85B,-,6.95,0.14%,"3,643,156"
2459,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,17.50B,12.59,24.42,1.90%,"6,228,831"
2460,FITE,SPDR S&P Kensho Future Security ETF,Financial,Exchange Traded Fund,USA,-,-,38.4,-0.31%,"1,893"
2461,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,Financial,Asset Management,USA,303.14M,-,8.46,-1.05%,"141,731"
2462,FIVA,Fidelity International Value Factor ETF,Financial,Exchange Traded Fund,USA,-,-,19.06,0.50%,"4,057"
2463,FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,USA,7.68B,77.76,137.79,2.61%,"347,457"
2464,FIVG,Defiance 5G Next Gen Connectivity ETF,Financial,Exchange Traded Fund,USA,-,-,29.98,0.00%,"111,430"
2465,FIVN,"Five9, Inc.",Technology,Software - Infrastructure,USA,9.33B,-,142.28,2.07%,"440,064"
2466,FIW,First Trust Water ETF,Financial,Exchange Traded Fund,USA,-,-,66.09,0.71%,"19,983"
2467,FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,USA,2.03B,15.96,55.11,-0.72%,"137,306"
2468,FIXD,First Trust TCW Opportunistic Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,54.89,0.16%,"736,239"
2469,FIXX,"Homology Medicines, Inc.",Healthcare,Biotechnology,USA,498.95M,-,11.23,-0.18%,"168,471"
2470,FIYY,Barclays ETN+ FI Enhanced Global High Yield ETN B,Financial,Exchange Traded Fund,USA,-,-,88.77,0.53%,"1,939"
2471,FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,USA,4.04B,27.89,87.07,-2.27%,"259,292"
2472,FJP,First Trust Japan AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,48.11,-0.08%,"2,677"
2473,FJUN,FT Cboe Vest US Eq Buffer ETF - June,Financial,Exchange Traded Fund,USA,-,-,32.69,0.19%,"1,280"
2474,FKO,First Trust South Korea AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,20.93,0.58%,21
2475,FKU,First Trust United Kingdom AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,31.86,0.54%,856
2476,FL,"Foot Locker, Inc.",Consumer Cyclical,Footwear & Accessories,USA,4.18B,21.89,39.77,2.26%,"1,563,690"
2477,FLAU,Franklin FTSE Australia ETF,Financial,Exchange Traded Fund,USA,-,-,24.6,0.60%,831
2478,FLAX,Franklin FTSE Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,24.9,0.41%,"1,001"
2479,FLBL,Franklin Liberty Senior Loan ETF,Financial,Exchange Traded Fund,USA,-,-,24.27,-0.06%,1
2480,FLBR,Franklin FTSE Brazil ETF,Financial,Exchange Traded Fund,USA,-,-,18.22,-0.95%,"6,074"
2481,FLC,Flaherty & Crumrine Total Return Fund Inc.,Financial,Closed-End Fund - Debt,USA,215.91M,37.26,21.61,0.14%,"26,709"
2482,FLCA,Franklin FTSE Canada ETF,Financial,Exchange Traded Fund,USA,-,-,24.97,-0.19%,160
2483,FLCB,Franklin Liberty US Core Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.17,0.11%,"19,296"
2484,FLCH,Franklin FTSE China ETF,Financial,Exchange Traded Fund,USA,-,-,30.8,0.21%,"7,994"
2485,FLCO,Franklin Liberty Investment Grade Corporate ETF,Financial,Exchange Traded Fund,USA,-,-,26.68,0.21%,"20,284"
2486,FLDM,Fluidigm Corporation,Healthcare,Diagnostics & Research,USA,464.14M,-,6.45,-3.87%,"1,832,478"
2487,FLDR,Fidelity Low Duration Bond Factor ETF,Financial,Exchange Traded Fund,USA,-,-,51.05,0.01%,"9,316"
2488,FLEE,Franklin FTSE Europe ETF,Financial,Exchange Traded Fund,USA,-,-,23.31,0.91%,"7,127"
2489,FLEX,Flex Ltd.,Technology,Electronic Components,Singapore,6.51B,77.35,14.62,3.91%,"8,511,874"
2490,FLFR,Franklin FTSE France ETF,Financial,Exchange Traded Fund,USA,-,-,23.81,1.43%,9
2491,FLGB,Franklin FTSE United Kingdom ETF,Financial,Exchange Traded Fund,USA,-,-,19.55,0.91%,"2,058"
2492,FLGE,Credit Suisse FI Large Cap Growth Enhanced ETN,Financial,Exchange Traded Fund,USA,-,-,469.65,1.01%,"3,117"
2493,FLGR,Franklin FTSE Germany ETF,Financial,Exchange Traded Fund,USA,-,-,22.89,0.64%,"2,224"
2494,FLGT,"Fulgent Genetics, Inc.",Healthcare,Diagnostics & Research,USA,820.96M,314.47,35.85,1.41%,"346,571"
2495,FLHK,Franklin FTSE Hong Kong ETF,Financial,Exchange Traded Fund,USA,-,-,23.4,0.43%,632
2496,FLHY,Franklin Liberty High Yield Corporate ETF,Financial,Exchange Traded Fund,USA,-,-,25.79,0.02%,"1,108"
2497,FLIA,Franklin Liberty International Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.39,0.06%,17
2498,FLIC,The First of Long Island Corporation,Financial,Banks - Regional,USA,392.22M,10.00,16.48,1.10%,"83,362"
2499,FLIN,Franklin FTSE India ETF,Financial,Exchange Traded Fund,USA,-,-,22.84,0.49%,394
2500,FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,4.78B,34.50,36.16,-1.85%,"970,193"
2501,FLIY,Franklin FTSE Italy ETF,Financial,Exchange Traded Fund,USA,-,-,21.1,1.21%,"1,454"
2502,FLJH,Franklin FTSE Japan Hedged ETF,Financial,Exchange Traded Fund,USA,-,-,25.08,-0.07%,285
2503,FLJP,Franklin FTSE Japan ETF,Financial,Exchange Traded Fund,USA,-,-,26.28,0.03%,"14,344"
2504,FLKR,Franklin FTSE South Korea ETF,Financial,Exchange Traded Fund,USA,-,-,24.1,1.10%,"3,003"
2505,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,66.16M,-,2.8,-1.75%,"57,364"
2506,FLLA,Franklin FTSE Latin America ETF,Financial,Exchange Traded Fund,USA,-,-,19.18,-0.40%,75
2507,FLLV,Franklin Liberty U.S. Low Volatility ETF,Financial,Exchange Traded Fund,USA,-,-,39.78,0.27%,"18,757"
2508,FLM,First Trust Global Engineering and Construction ETF,Financial,Exchange Traded Fund,USA,-,-,43.7,1.09%,103
2509,FLMB,Franklin Liberty Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.67,-0.02%,"18,159"
2510,FLMI,Franklin Liberty Intermediate Municipal Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,25.53,-0.04%,202
2511,FLMN,Falcon Minerals Corporation,Energy,Oil & Gas E&P,USA,210.30M,16.08,2.38,1.71%,"50,358"
2512,FLMX,Franklin FTSE Mexico ETF,Financial,Exchange Traded Fund,USA,-,-,18.1,0.79%,"1,106"
2513,FLN,First Trust Latin America AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,15.9,-1.32%,"4,365"
2514,FLNG,Flex LNG Ltd.,Energy,Oil & Gas Midstream,Bermuda,388.51M,47.87,7.18,-0.97%,"12,032"
2515,FLNT,"Fluent, Inc.",Communication Services,Advertising Agencies,USA,200.71M,-,2.61,-2.25%,"69,098"
2516,FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,USA,5.15B,52.60,24.25,0.79%,"400,457"
2517,FLOT,iShares Floating Rate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,50.7,0.02%,"646,961"
2518,FLOW,"SPX FLOW, Inc.",Industrials,Specialty Industrial Machinery,USA,2.00B,58.01,46.99,1.69%,"101,027"
2519,FLQD,Franklin LibertyQ Global Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,28.55,0.29%,"1,344"
2520,FLQE,Franklin LibertyQ Emerging Markets ETF,Financial,Exchange Traded Fund,USA,-,-,26.86,0.53%,692
2521,FLQG,Franklin LibertyQ Global Equity ETF,Financial,Exchange Traded Fund,USA,-,-,33.41,0.32%,"2,711"
2522,FLQH,Franklin LibertyQ International Equity Hedged ETF,Financial,Exchange Traded Fund,USA,-,-,24.2,0.37%,"1,776"
2523,FLQL,Franklin LibertyQ U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,35.6,0.31%,"20,266"
2524,FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,34.96,0.84%,"6,727"
2525,FLQS,Franklin LibertyQ U.S. Small Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,27.78,0.54%,79
2526,FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,1.69B,-,12.2,1.84%,"1,450,821"
2527,FLRN,SPDR Bloomberg Barclays Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,-,-,30.59,0.00%,"925,236"
2528,FLRT,Pacific Global Senior Loan ETF,Financial,Exchange Traded Fund,USA,-,-,47.97,-0.08%,27
2529,FLRU,Franklin FTSE Russia ETF,Financial,Exchange Traded Fund,USA,-,-,22.15,1.61%,252
2530,FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,USA,4.16B,28.60,31.75,3.93%,"1,744,750"
2531,FLSA,Franklin FTSE Saudi Arabia ETF,Financial,Exchange Traded Fund,USA,-,-,25.93,0.31%,103
2532,FLSP,Franklin Liberty Systematic Style Premia ETF,Financial,Exchange Traded Fund,USA,-,-,22.06,0.00%,0
2533,FLSW,Franklin FTSE Switzerland ETF,Financial,Exchange Traded Fund,USA,-,-,28.37,0.47%,"13,342"
2534,FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,USA,21.52B,30.14,259.2,0.92%,"716,320"
2535,FLTB,Fidelity Limited Term Bond ETF,Financial,Exchange Traded Fund,USA,-,-,52.57,0.06%,"17,424"
2536,FLTR,VanEck Vectors Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,-,-,25.23,0.00%,"28,341"
2537,FLTW,Franklin FTSE Taiwan ETF,Financial,Exchange Traded Fund,USA,-,-,32.36,0.25%,354
2538,FLUX,"Flux Power Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,108.68M,-,8.66,3.10%,"97,562"
2539,FLV,American Century Focused Large Cap Value ETF,Financial,Exchange Traded Fund,USA,-,-,49.57,0.25%,238
2540,FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Cyclical,Specialty Retail,USA,1.65B,28.91,25.35,1.52%,"1,273,430"
2541,FLXN,"Flexion Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,600.96M,-,12.18,0.25%,"241,039"
2542,FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,215.66M,-,26.3,4.86%,"52,029"
2543,FLY,Fly Leasing Limited,Industrials,Rental & Leasing Services,Ireland,217.96M,1.26,7.13,1.42%,"102,608"
2544,FLYT,Direxion Flight to Safety Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,53.19,0.26%,"2,369"
2545,FLZA,Franklin FTSE South Africa ETF,Financial,Exchange Traded Fund,USA,-,-,20.96,2.14%,523
2546,FM,iShares MSCI Frontier 100 ETF,Financial,Exchange Traded Fund,USA,-,-,27.06,0.26%,"19,614"
2547,FMAO,"Farmers & Merchants Bancorp, Inc.",Financial,Banks - Regional,USA,242.75M,13.67,21.81,2.25%,"5,246"
2548,FMAT,Fidelity MSCI Materials Index ETF,Financial,Exchange Traded Fund,USA,-,-,36.03,0.43%,"29,967"
2549,FMAY,FT Cboe Vest US Eq Buffer ETF - May,Financial,Exchange Traded Fund,USA,-,-,33.56,0.41%,"5,472"
2550,FMB,First Trust Managed Municipal ETF,Financial,Exchange Traded Fund,USA,-,-,55.37,0.04%,"58,562"
2551,FMBH,"First Mid Bancshares, Inc.",Financial,Banks - Regional,USA,491.99M,11.18,29.25,0.86%,"30,200"
2552,FMBI,"First Midwest Bancorp, Inc.",Financial,Banks - Regional,USA,1.44B,9.71,12.61,0.12%,"429,606"
2553,FMC,FMC Corporation,Basic Materials,Agricultural Inputs,USA,13.99B,25.61,107.78,0.27%,"413,390"
2554,FMCI,Forum Merger II Corporation,Financial,Shell Companies,USA,497.06M,-,24.07,0.00%,0
2555,FMF,First Trust Managed Futures Strategy Fund,Financial,Exchange Traded Fund,USA,-,-,44.01,0.19%,"6,279"
2556,FMHI,First Trust Municipal High Income ETF,Financial,Exchange Traded Fund,USA,-,-,51.69,-0.18%,"15,228"
2557,FMIL,Fidelity New Millennium ETF,Financial,Exchange Traded Fund,USA,-,-,21.35,0.51%,"6,790"
2558,FMK,First Trust Mega Cap AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,39.47,-0.05%,"1,302"
2559,FMN,Federated Hermes Premier Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,164.78M,111.09,14.33,1.13%,"36,190"
2560,FMNB,Farmers National Banc Corp.,Financial,Banks - Regional,USA,346.44M,8.91,12.22,0.91%,"30,437"
2561,FMO,Fiduciary/Claymore Energy Infrastructure Fund,Financial,Closed-End Fund - Equity,USA,55.29M,-,7.8,-1.39%,"12,867"
2562,FMS,Fresenius Medical Care AG & Co. KGaA,Healthcare,Medical Care Facilities,Germany,24.89B,11.07,40.86,1.82%,"347,872"
2563,FMTX,"Forma Therapeutics Holdings, Inc.",Healthcare,Biotechnology,USA,1.94B,-,48.42,-1.57%,"80,853"
2564,FMX,"Fomento Economico Mexicano, S.A.B. de C.V.",Consumer Defensive,Beverages - Brewers,Mexico,18.55B,54.31,58.11,2.87%,"916,851"
2565,FMY,First Trust Mortgage Income Fund,Financial,Closed-End Fund - Debt,USA,57.00M,56.61,13.53,0.82%,"3,447"
2566,FN,Fabrinet,Technology,Electronic Components,Cayman Islands,2.35B,21.16,63.73,0.20%,"161,440"
2567,FNB,F.N.B. Corporation,Financial,Banks - Regional,USA,2.51B,7.98,7.85,-0.51%,"2,610,500"
2568,FNCB,"FNCB Bancorp, Inc.",Financial,Banks - Regional,USA,119.32M,9.65,5.72,0.35%,"27,489"
2569,FNCL,Fidelity MSCI Financials Index ETF,Financial,Exchange Traded Fund,USA,-,-,36.04,0.45%,"78,279"
2570,FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,USA,8.28B,58.77,81.1,1.76%,"835,241"
2571,FNDA,Schwab Fundamental U.S. Small Company Index ETF,Financial,Exchange Traded Fund,USA,-,-,36.1,0.61%,"205,276"
2572,FNDB,Schwab Fundamental U.S. Broad Market Index ETF,Financial,Exchange Traded Fund,USA,-,-,39.93,0.20%,"4,530"
2573,FNDC,Schwab Fundamental International Small Company Index ETF,Financial,Exchange Traded Fund,USA,-,-,30.79,0.65%,"116,900"
2574,FNDE,Schwab Fundamental Emerging Markets Large Company Index ETF,Financial,Exchange Traded Fund,USA,-,-,24.91,0.93%,"461,880"
2575,FNDF,Schwab Fundamental International Large Company Index ETF,Financial,Exchange Traded Fund,USA,-,-,25.34,0.88%,"448,628"
2576,FNDX,Schwab Fundamental U.S. Large Company Index ETF,Financial,Exchange Traded Fund,USA,-,-,40.54,0.22%,"205,247"
2577,FNF,"Fidelity National Financial, Inc.",Financial,Insurance - Specialty,USA,9.54B,10.99,32.94,5.00%,"1,852,169"
2578,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,Financial,Exchange Traded Fund,USA,-,-,7.57,-1.94%,"1,092,445"
2579,FNGO,MicroSectors FANG+ Index 2X Leveraged ETN,Financial,Exchange Traded Fund,USA,-,-,150.91,1.36%,"6,120"
2580,FNGS,MicroSectors FANG+ ETN,Financial,Exchange Traded Fund,USA,-,-,98.78,0.78%,"4,626"
2581,FNGU,MicroSectors FANG+ Index 3X Leveraged ETN,Financial,Exchange Traded Fund,USA,-,-,213.7,2.27%,"319,271"
2582,FNGZ,MicroSectors FANG+ Index -2X Inverse Leveraged ETN,Financial,Exchange Traded Fund,USA,-,-,5.73,-1.52%,"1,418"
2583,FNHC,FedNat Holding Company,Financial,Insurance - Property & Casualty,USA,83.16M,-,6.0,-0.99%,"29,245"
2584,FNI,First Trust Chindia ETF,Financial,Exchange Traded Fund,USA,-,-,50.45,0.63%,"5,410"
2585,FNK,First Trust Mid Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,30.43,1.04%,"2,750"
2586,FNKO,"Funko, Inc.",Consumer Cyclical,Leisure,USA,343.54M,-,6.76,13.23%,"923,644"
2587,FNLC,"The First Bancorp, Inc.",Financial,Banks - Regional,USA,260.93M,10.12,24.16,0.33%,"7,781"
2588,FNOV,FT Cboe Vest US Eq Buffer ETF - November,Financial,Exchange Traded Fund,USA,-,-,33.08,0.07%,"8,805"
2589,FNV,Franco-Nevada Corporation,Basic Materials,Gold,Canada,26.30B,123.87,137.99,-1.33%,"558,035"
2590,FNWB,First Northwest Bancorp,Financial,Banks - Regional,USA,119.09M,14.96,11.71,1.39%,"15,965"
2591,FNX,First Trust Mid Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,71.45,0.80%,"15,594"
2592,FNY,First Trust Mid Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,56.67,0.71%,"28,424"
2593,FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,USA,2.77B,169.45,39.99,-1.04%,"532,740"
2594,FOE,Ferro Corporation,Basic Materials,Specialty Chemicals,USA,1.13B,41.04,13.87,1.46%,"256,120"
2595,FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,294.61M,-,10.82,-0.37%,"59,671"
2596,FOLD,"Amicus Therapeutics, Inc.",Healthcare,Biotechnology,USA,4.72B,-,18.48,2.55%,"1,649,299"
2597,FONR,FONAR Corporation,Healthcare,Medical Devices,USA,135.25M,19.23,21.4,0.19%,"9,437"
2598,FOR,Forestar Group Inc.,Real Estate,Real Estate - Development,USA,872.02M,16.78,17.84,2.65%,"45,368"
2599,FORD,"Forward Industries, Inc.",Consumer Cyclical,Footwear & Accessories,USA,12.71M,-,1.5,-3.23%,"70,278"
2600,FORK,Fuling Global Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",China,37.49M,2.58,2.37,0.78%,"35,875"
2601,FORM,"FormFactor, Inc.",Technology,Semiconductors,USA,2.31B,36.80,29.62,0.00%,"358,076"
2602,FORR,"Forrester Research, Inc.",Industrials,Consulting Services,USA,710.60M,52.92,38.0,-1.40%,"27,442"
2603,FORTY,Formula Systems (1985) Ltd.,Technology,Information Technology Services,Israel,1.45B,34.09,93.61,7.80%,17
2604,FOSL,"Fossil Group, Inc.",Consumer Cyclical,Luxury Goods,USA,314.03M,-,6.08,-3.49%,"1,197,544"
2605,FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,USA,4.41B,-,55.98,-0.14%,"301,263"
2606,FOVL,iShares Focused Value Factor ETF,Financial,Exchange Traded Fund,USA,-,-,35.48,0.79%,"3,233"
2607,FOX,Fox Corporation,Communication Services,Broadcasting,USA,15.81B,16.63,26.93,-1.73%,"1,724,516"
2608,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,16.36B,16.80,27.08,-1.38%,"3,462,534"
2609,FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Recreational Vehicles,USA,3.64B,46.47,86.3,1.78%,"142,675"
2610,FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,27.76,1.89%,"1,253"
2611,FPAY,"FlexShopper, Inc.",Industrials,Rental & Leasing Services,USA,34.28M,-,1.66,0.61%,"90,178"
2612,FPE,First Trust Preferred Securities and Income ETF,Financial,Exchange Traded Fund,USA,-,-,19.42,0.15%,"1,187,942"
2613,FPEI,First Trust Institutional Preferred Securities and Income ETF,Financial,Exchange Traded Fund,USA,-,-,19.46,0.15%,"28,451"
2614,FPF,First Trust Intermediate Duration Preferred & Income Fund,Financial,Closed-End Fund - Debt,USA,1.33B,-,21.9,0.60%,"102,516"
